+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  #  | Gracz                             | Korp     | CID                                         | Run      | RID                                         | LG | Punkty |  CW  |  RW  |   B |  +/-  |  W-R-P  |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   1 | Mateusz 'Mateusz' Kazuro          | NBN      | NBN: Making News                            | Criminal | Andromeda: Dispossessed Ristie              |  5 |     18 |    4 |    5 |  54 | 95/38 |   4-1-0 |
|   2 |  'David'                          | Weyland  | Weyland Consortium: Building a Better World | Anarch   | Reina Roja: Freedom Fighter                 |  5 |     16 |    5 |    3 |  52 | 83/42 |   3-2-0 |
|   3 |  'Alek'                           | HB       | Haas-Bioroid: Engineering the Future        | Criminal | Andromeda: Dispossessed Ristie              |  5 |     14 |    4 |    3 |  58 | 81/52 |   3-1-1 |
|   4 | Pawel 'prozz' Rozynek             | HB       | Cerebral Imaging: Infinite Frontiers        | Shaper   | Chaos Theory: Wunderkind                    |  5 |     14 |    4 |    3 |  57 | 82/57 |   3-1-1 |
|   5 |  'sidzej'                         | NBN      | NBN: The World is Yours*                    | Anarch   | Reina Roja: Freedom Fighter                 |  5 |     12 |    3 |    3 |  72 | 68/60 |   2-2-1 |
|   6 | Marek 'Marek' Talbierz            | NBN      | NBN: Making News                            | Shaper   | Chaos Theory: Wunderkind                    |  5 |     12 |    3 |    3 |  60 | 64/59 |   1-4-0 |
|   7 | Jan 'Jan' Szczecinski             | NBN      | NBN: The World is Yours*                    | Criminal | Gabriel Santiago: Consummate Professional   |  5 |     12 |    3 |    3 |  58 | 73/51 |   3-0-2 |
|   8 |  'Beata'                          | Weyland  | Weyland Consortium: Building a Better World | Criminal | Gabriel Santiago: Consummate Professional   |  5 |     12 |    3 |    3 |  58 | 70/48 |   2-2-1 |
|   9 |  'Chom'                           | NBN      | NBN: Making News                            | Shaper   | Rielle "Kit" Peddler: Transhuman            |  5 |     12 |    3 |    3 |  51 | 78/57 |   3-0-2 |
|  10 |  'Tygrys'                         | Weyland  | GRNDL: Power Unleashed                      | Anarch   | Noise: Hacker Extraordinaire                |  5 |     12 |    4 |    2 |  56 | 66/66 |   2-2-1 |
|  11 |  'Akashia'                        | HB       | Haas-Bioroid: Engineering the Future        | Shaper   | Kate "Mac" McCaffrey: Digital Tinker        |  5 |     12 |    4 |    2 |  43 | 75/60 |   2-2-1 |
|  12 |  'Chomik'                         | NBN      | NBN: Making News                            | Criminal | Gabriel Santiago: Consummate Professional   |  5 |     12 |    2 |    2 |  40 | 51/47 |   2-2-1 |
|  13 | Jacek 'Jacek' Wieszaczewski       | HB       | Haas-Bioroid: Engineering the Future        | Criminal | Andromeda: Dispossessed Ristie              |  5 |     10 |    3 |    2 |  56 | 62/60 |   2-1-2 |
|  14 |  'Karolina'                       | NBN      | NBN: Making News                            | Criminal | Andromeda: Dispossessed Ristie              |  5 |     10 |    2 |    3 |  45 | 64/63 |   2-1-2 |
|  15 | Witek 'Makaron' Jakubowski        | HB       | Haas-Bioroid: Engineering the Future        | Criminal | Andromeda: Dispossessed Ristie              |  5 |     10 |    3 |    2 |  45 | 61/66 |   3-0-2 |
|  16 | Sebastian 'Sebastian' Zarzycki    | NBN      | NBN: The World is Yours*                    | Shaper   | Rielle "Kit" Peddler: Transhuman            |  5 |      9 |    2 |    2 |  38 | 64/64 |   1-2-2 |
|  17 | Mateusz 'matej' Nowak             | NBN      | NBN: The World is Yours*                    | Anarch   | Noise: Hacker Extraordinaire                |  5 |      8 |    3 |    1 |  40 | 69/69 |   1-2-2 |
|  18 | Michal 'Michal' Ratajczak         | Jinteki  | Jinteki: Replicating Perfection             | Shaper   | Rielle "Kit" Peddler: Transhuman            |  5 |      7 |    2 |    1 |  46 | 45/74 |   2-0-3 |
|  19 | Michal 'Maximo' Marciniak         | HB       | Haas-Bioroid: Engineering the Future        | Shaper   | Chaos Theory: Wunderkind                    |  5 |      6 |    2 |    1 |  48 | 56/82 |   0-3-2 |
|  20 | Pawel 'Pawel' Kwiatkowski         | Weyland  | Weyland Consortium: Building a Better World | Anarch   | Reina Roja: Freedom Fighter                 |  5 |      6 |    2 |    1 |  39 | 54/72 |   0-3-2 |
|  21 | K. 'K.' Ratajczak                 | NBN      | NBN: The World is Yours*                    | Anarch   | Noise: Hacker Extraordinaire                |  5 |      6 |    0 |    1 |  44 | 31/76 |   1-1-3 |
|  22 | Dawid 'Dawid' Stefanski           | Jinteki  | Jinteki: Personal Evolution                 | Shaper   | Chaos Theory: Wunderkind                    |  5 |      6 |    0 |    1 |  37 | 32/70 |   1-1-3 |
|  23 | Radoslaw 'Radoslaw' Szalek        | Jinteki  | Jinteki: Replicating Perfection             | Shaper   | Chaos Theory: Wunderkind                    |  4 |      4 |    0 |    0 |  34 | 15/60 |   1-0-3 |
|  24 | Artur 'Artur' Reso                | NBN      | NBN: Making News                            | Criminal | Andromeda: Dispossessed Ristie              |  3 |      4 |    2 |    0 |  24 | 29/50 |   0-2-1 |
|  25 | Arkadiusz 'Arkadiusz' Hiler       | Weyland  | Weyland Consortium: Building a Better World | Anarch   | Reina Roja: Freedom Fighter                 |  3 |      2 |    1 |    0 |  31 | 25/50 |   0-1-2 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
